EW_UD_leaky_relu_mlrd;UD_leaky_relu_mlrd;threshold;pfa_scores;Dataset;selection_extra_features;n_clusters_used;EW_UD_calinski_harabasz_score;patience;EW_leaky_relu_mlrd;EW_calinski_harabasz_score;UD_calinski_harabasz_score;method;use_extra_features
2.0187636517918124e-05;-;0.1;0.5;../data/offida_new/offida_new__load__data.pkl;True;8.0;24.182551279729186;100.0;-;-;-;time2feat;True
2.5940589951013408e-05;-;0.1;0.5;../data/offida_new/offida_new__load__data.pkl;False;8.0;194.72909470619476;100.0;-;-;-;time2feat;True
2.110958019522261e-05;-;0.1;0.5;../data/offida_new/offida_new__load__data.pkl;False;8.0;154.4481470913707;100.0;-;-;-;time2feat;False
2.144130698755172e-05;-;0.1;0.6;../data/offida_new/offida_new__load__data.pkl;True;8.0;50.46870157324293;100.0;-;-;-;time2feat;True
2.214391542580758e-05;-;0.1;0.6;../data/offida_new/offida_new__load__data.pkl;False;8.0;158.51883974331557;100.0;-;-;-;time2feat;True
1.93341143974746e-05;-;0.1;0.6;../data/offida_new/offida_new__load__data.pkl;False;8.0;128.14809480814597;100.0;-;-;-;time2feat;False
2.019006609709652e-05;-;0.1;0.7;../data/offida_new/offida_new__load__data.pkl;True;8.0;134.469539421676;100.0;-;-;-;time2feat;True
2.275027398151083e-05;-;0.1;0.7;../data/offida_new/offida_new__load__data.pkl;False;8.0;189.73053523371934;100.0;-;-;-;time2feat;True
2.105127717884696e-05;-;0.1;0.7;../data/offida_new/offida_new__load__data.pkl;False;8.0;147.5945111648947;100.0;-;-;-;time2feat;False
2.1624506746618827e-05;-;0.1;0.8;../data/offida_new/offida_new__load__data.pkl;True;8.0;52.921113499410254;100.0;-;-;-;time2feat;True
2.223460404397096e-05;-;0.1;0.8;../data/offida_new/offida_new__load__data.pkl;False;8.0;175.85691958497443;100.0;-;-;-;time2feat;True
2.080293011505113e-05;-;0.1;0.8;../data/offida_new/offida_new__load__data.pkl;False;8.0;150.82042861813943;100.0;-;-;-;time2feat;False
1.939692140770409e-05;-;0.1;0.9;../data/offida_new/offida_new__load__data.pkl;True;8.0;162.28852814760694;100.0;-;-;-;time2feat;True
1.8350898862187297e-05;-;0.1;0.9;../data/offida_new/offida_new__load__data.pkl;False;8.0;162.5957421018698;100.0;-;-;-;time2feat;True
1.7915132616597486e-05;-;0.1;0.9;../data/offida_new/offida_new__load__data.pkl;False;8.0;145.29804119432853 ;100.0;-;-;-;time2feat;False
1.4106654638114543e-05;-;0.1;0.1;../data/offida_new/offida_new__load__data.pkl;False;8.0;101.616089806968541;100.0;-;-;-;time2feat;True
3.2450515353825345e-05;-;0.1;0.1;../data/offida_new/offida_new__load__data.pkl;False;8.0;576.9251076169852;100.0;-;-;-;time2feat;False
1.251542543587358e-05;-;0.1;0.2;../data/offida_new/offida_new__load__data.pkl;False;8.0;112.362577236542908;100.0;-;-;-;time2feat;True
3.3323308100070494e-05;-;0.1;0.2;../data/offida_new/offida_new__load__data.pkl;False;8.0;546.9508063521428;100.0;-;-;-;time2feat;False
1.2760102091783888e-05;-;0.1;0.3;../data/offida_new/offida_new__load__data.pkl;False;8.0;103.432302491736667;100.0;-;-;-;time2feat;True
2.8223918545623363e-05;-;0.1;0.3;../data/offida_new/offida_new__load__data.pkl;False;8.0;345.23925908975133;100.0;-;-;-;time2feat;False
1.1749445576112216e-05;-;0.1;0.4;../data/offida_new/offida_new__load__data.pkl;False;8.0;113.8959528016660334;100.0;-;-;-;time2feat;True
2.3758382327785183e-05;-;0.1;0.4;../data/offida_new/offida_new__load__data.pkl;False;8.0;182.74595466377343;100.0;-;-;-;time2feat;False
-;8.078583178118955e-06;0.1;-;../data/offida_new/offida_new__load__data.pkl;-;8.0;-;100.0;1.047394628230816e-05;15.28257586068533;15.590134471096798;festa_kmeans;-
-;1.4012035610551524e-05;0.1;0.5;;True;8.0;-;100.0;1.292807443903294e-05;9.657831032726708;86.666402409067;featts;True
-;1.3662865709178762e-05;0.1;0.5;;False;8.0;-;100.0;1.2872231446794782e-05;121.03387713909756;130.0014345416245;featts;True
-;1.7985899725694546e-05;0.1;0.5;;False;8.0;-;100.0;1.1697168207346496e-05;34.512548728543806;57.82905387912751;featts;False
-;1.6766523697853128e-05;0.1;0.6;;True;8.0;-;100.0;1.3673868195896768e-05;24.532776966305;23.902430205178185;featts;True
-;9.135350583035214e-06;0.1;0.6;;False;8.0;-;100.0;1.56008213525329e-05;125.61299304309496;130.5206975356692;featts;True
-;1.425883059738165e-05;0.1;0.6;;False;8.0;-;100.0;1.3905565242751734e-05;123.5328526549909;139.63519468597045;featts;False
-;8.24142152773832e-06;0.1;0.7;;True;8.0;-;100.0;1.3742325680245096e-05;29.95770834929588;38.68302584220024;featts;True
-;1.5216145219198406e-05;0.1;0.7;;False;8.0;-;100.0;1.3114858992357278e-05;44.63807131076111;71.93563534428966;featts;True
-;1.5066289993471164e-05;0.1;0.7;;False;8.0;-;100.0;1.3341342304202632e-05;78.49813603918756;66.93602499542847;featts;False
-;1.2608233040588436e-05;0.1;0.8;;True;8.0;-;100.0;1.2292989375262429e-05;45.67312100280222;92.15283907074374;featts;True
-;1.7402614563288087e-05;0.1;0.8;;False;8.0;-;100.0;1.3270337558374866e-05;84.44797829714706;69.50270692076018;featts;True
-;1.3743590410908094e-05;0.1;0.8;;False;8.0;-;100.0;1.389689775675056e-05;90.26989426187232;86.89632490805002;featts;False
-;1.7437061650344412e-05;0.1;0.9;;True;8.0;-;100.0;1.0249632036802992e-05;16.870089679946197;99.11271843093806;featts;True
-;1.387526912562605e-05;0.1;0.9;;False;8.0;-;100.0;1.2813249912610028e-05;23.55536541384411;67.38830814260452;featts;True
-;1.952688003462658e-05;0.1;0.9;;False;8.0;-;100.0;1.0553912099368688e-05;68.37036731001596;63.16041743047553;featts;False
;2.02542747760528e-05;0.1;0.1;;False;8.0;-;100.0;2.0169594991597847e-05;23.806127022542648;33.2714260267504796;featts;True
-;1.4116496332022928e-05;0.1;0.1;;False;8.0;-;100.0;1.421141634003004e-05;103.80247411731345;148.40121583466967;featts;False
-;2.0070436948445487e-05;0.1;0.2;;False;8.0;-;100.0;2.0195645696239097e-05;34.240550233173414;23.4944421174029867;featts;True
-;1.634189350918146e-05;0.1;0.2;;False;8.0;-;100.0;1.579990009562301e-05;115.0976081444469;117.71135365936946;featts;False
-;2.0070436948445487e-05;0.1;0.3;;False;8.0;-;100.0;2.037244617147169e-05;33.7709171854373293;33.4944421174029867;featts;True
-;1.0841778934515811e-05;0.1;0.3;;False;8.0;-;100.0;1.0826268527795966e-05;111.15390043061635;115.27128994255025;featts;False
-;1.675527435271596e-05;0.1;0.4;;False;8.0;-;100.0;1.770818144299167e-05;22.915603546120558;29.082551263411244;featts;True
-;1.594818574416704e-05;0.1;0.4;;False;8.0;-;100.0;1.6364148612198087e-05;105.2233695651636;106.46052017146512;featts;False
-;1.7199397289547285e-06;0.1;-;;-;8.0;-;100.0;2.2479644283454578e-06;3.340999671014697;3.310458496496744;kmeans;-
